,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,normalized_Accuracy__test_mean,normalized_Accuracy__test_mean,normalized_Accuracy__test_std,normalized_Accuracy__test_std,time_per_1000_inst_mean_Accuracy,time_per_1000_inst_mean_Accuracy
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
CatBoost,1,21,6.26,4,35,0.87,0.94,0.13,0.07,40.51,1.43
XGBoost,1,26,6.61,2.5,36,0.88,0.96,0.14,0.06,1.49,0.26
ResNet,1,22,7.63,8,35,0.81,0.89,0.16,0.07,8.09,5.17
LightGBM,1,23,9.19,8,32,0.83,0.89,0.19,0.08,1.11,0.45
RandomForest,2,25,10.00,9,35,0.77,0.84,0.14,0.08,0.36,0.25
SAINT,1,27,10.11,7,27,0.72,0.89,0.15,0.10,126.28,76.83
MLP-rtdl,1,24,10.22,10,36,0.75,0.83,0.13,0.06,7.02,4.41
FTTransformer,1,25,10.28,9,29,0.73,0.83,0.15,0.10,18.67,14.31
NODE,1,20,10.60,10,30,0.78,0.80,0.17,0.11,121.25,115.18
Ours-1,1,27,10.86,11,36,0.66,0.77,0.12,0.06,0.51,0.29
HyperFast,1,28,10.97,10,30,0.77,0.80,0.16,0.09,41.75,29.03
TabPFN,1,29,12.83,13,36,0.56,0.69,0.15,0.10,0.50,0.44
Ours-2,1,25,12.92,12.5,36,0.63,0.73,0.12,0.08,0.42,0.17
DANet,3,25,13.15,12,27,0.76,0.83,0.18,0.12,65.84,64.58
DeepFM,4,23,13.86,15,21,0.73,0.75,0.20,0.17,6.62,4.96
SVM,1,26,14.72,16,29,0.69,0.72,0.14,0.10,17.84,3.25
MLP,3,27,14.75,14,36,0.64,0.64,0.14,0.08,8.66,5.23
TabSmall,1,29,14.89,16,36,0.51,0.58,0.14,0.08,0.19,0.12
TabNet,2,29,14.94,15,33,0.65,0.69,0.19,0.10,27.45,25.28
TabFast,4,27,15.58,14.5,36,0.53,0.52,0.13,0.09,0.23,0.04
TabFlex,3,26,15.86,15.5,36,0.56,0.57,0.13,0.08,0.43,0.17
DecisionTree,3,26,16.40,17,35,0.62,0.66,0.15,0.09,0.21,0.02
TabTransformer,3,29,16.85,18,26,0.60,0.68,0.15,0.09,12.76,11.37
STG,4,28,18.19,20,31,0.56,0.68,0.16,0.08,15.99,15.53
LinearModel,4,29,18.56,18.5,34,0.50,0.57,0.14,0.07,0.04,0.02
TuneTables,2,28,18.68,20,31,0.56,0.55,0.21,0.17,43.86,19.94
KNN,5,29,19.36,22,33,0.48,0.55,0.14,0.08,0.24,0.03
VIME,6,29,21.19,22.5,32,0.40,0.32,0.15,0.10,21.51,14.92
NAM,11,29,24.06,26,16,0.38,0.21,0.19,0.17,75.61,43.26
