,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,normalized_Log Loss__test_mean,normalized_Log Loss__test_mean,normalized_Log Loss__test_std,normalized_Log Loss__test_std,time_per_1000_inst_mean_Log Loss,time_per_1000_inst_mean_Log Loss
,min,max,mean,median,count,mean,median,mean,median,mean,median
alg_name,,,,,,,,,,,
XGBoost,1,21,5.19,2,36,0.05,0.03,0.07,0.05,2.03,0.28
CatBoost,1,20,5.54,3,35,0.08,0.04,0.08,0.04,26.46,1.15
Ours-1,1,20,9.08,8.5,36,0.24,0.12,0.07,0.03,0.50,0.28
ResNet,1,22,9.34,9,35,0.16,0.11,0.09,0.06,8.33,5.23
LightGBM,1,23,9.38,9,32,0.10,0.08,0.15,0.06,1.24,0.37
Ours-2,2,22,10.03,10,36,0.25,0.14,0.07,0.04,0.44,0.14
SAINT,1,25,10.04,7,27,0.17,0.08,0.09,0.08,130.30,92.57
FTTransformer,3,23,11.21,9,29,0.21,0.18,0.10,0.09,17.49,12.70
DANet,4,22,11.56,11,27,0.12,0.11,0.10,0.09,58.77,52.75
TabPFN,1,29,11.81,10.5,36,0.34,0.19,0.09,0.05,0.43,0.41
TabFlex,3,25,12.42,13,36,0.27,0.18,0.07,0.04,0.44,0.17
RandomForest,2,25,12.74,13,35,0.23,0.20,0.16,0.06,0.37,0.27
MLP-rtdl,3,27,13.14,12,36,0.32,0.22,0.13,0.08,6.38,4.23
DeepFM,1,28,13.43,12,21,0.30,0.14,0.17,0.09,6.46,4.87
TabSmall,2,29,13.75,14,36,0.40,0.24,0.12,0.05,0.19,0.12
TabFast,4,26,13.86,12,36,0.36,0.23,0.09,0.05,0.23,0.04
SVM,1,26,14.14,15,29,0.23,0.15,0.10,0.05,19.85,2.88
STG,1,28,14.61,14,31,0.25,0.17,0.08,0.05,15.99,15.30
TabTransformer,1,29,15.12,15,26,0.29,0.21,0.10,0.06,13.51,9.22
TabNet,1,28,15.21,14,33,0.27,0.19,0.20,0.09,27.04,27.12
HyperFast,2,29,15.70,14,30,0.40,0.33,0.20,0.11,41.75,29.03
MLP,4,26,15.81,16.5,36,0.37,0.30,0.11,0.08,8.91,4.38
NODE,6,25,16.00,16,30,0.30,0.26,0.05,0.04,153.87,124.31
LinearModel,6,28,17.12,17.5,34,0.41,0.24,0.08,0.05,0.04,0.02
DecisionTree,6,28,20.20,21,35,0.49,0.47,0.27,0.19,0.11,0.01
VIME,7,27,20.22,22.5,32,0.41,0.35,0.07,0.05,20.85,15.22
TuneTables,6,28,20.26,20,31,0.42,0.41,0.18,0.18,43.86,19.94
KNN,4,29,21.79,24,33,0.54,0.54,0.27,0.14,0.23,0.03
NAM,3,28,22.00,23.5,16,0.43,0.26,0.06,0.05,88.47,61.57
